date,city,state,victim_age,victim_gender,offense_type,weapon,description,reported_by,arrest,domestic,id,Date,City,State,Offense_Type,Weapon,Victim_Gender,Arrest,Domestic
2022-02-28 15:59:00,Chennai,Karnataka,40.0,Female,Murder,Gun,Description 1,Officer 1,False,Yes,1.0,,,,,,,,
2023-04-05 00:39:00,Jaipur,Tamil Nadu,52.0,Male,Homicide,Knife,Description 2,Officer 2,False,No,2.0,,,,,,,,
2020-03-29 00:58:00,Lucknow,Uttar Pradesh,44.0,Other,Domestic Violence,Hand,Description 3,Officer 3,True,Yes,3.0,,,,,,,,
2024-01-25 05:36:00,Delhi,Gujarat,41.0,Male,Domestic Violence,Hand,Description 4,Officer 4,True,No,4.0,,,,,,,,
2021-08-25 14:08:00,Pune,Telangana,51.0,Female,Assault,Stick,Description 5,Officer 5,False,No,5.0,,,,,,,,
2022-09-27 16:32:00,Hyderabad,Rajasthan,36.0,Other,Murder,,Description 6,Officer 6,True,Yes,6.0,,,,,,,,
2022-10-01 08:50:00,Ahmedabad,Delhi,22.0,Other,Sexual Assault,Stick,Description 7,Officer 7,False,No,7.0,,,,,,,,
2021-11-12 09:28:00,Lucknow,Karnataka,37.0,Female,Sexual Assault,Stick,Description 8,Officer 8,False,No,8.0,,,,,,,,
2022-12-25 19:22:00,Hyderabad,Rajasthan,54.0,Other,Robbery,Hand,Description 9,Officer 9,True,Yes,9.0,,,,,,,,
2023-01-07 23:19:00,Delhi,West Bengal,36.0,Male,Sexual Assault,Stick,Description 10,Officer 10,False,Yes,10.0,,,,,,,,
2022-04-07 18:46:00,Hyderabad,West Bengal,51.0,Female,Other,,Description 11,Officer 11,False,Yes,11.0,,,,,,,,
2023-05-08 20:51:00,Bangalore,Telangana,47.0,Male,Robbery,Knife,Description 12,Officer 12,True,Yes,12.0,,,,,,,,
2022-07-17 15:58:00,Hyderabad,West Bengal,32.0,Other,Assault,Hand,Description 13,Officer 13,True,Yes,13.0,,,,,,,,
2020-12-24 21:05:00,Hyderabad,Tamil Nadu,52.0,Male,Robbery,Gun,Description 14,Officer 14,True,No,14.0,,,,,,,,
2020-10-09 19:47:00,Hyderabad,West Bengal,44.0,Female,Other,Hand,Description 15,Officer 15,False,No,15.0,,,,,,,,
2021-11-26 21:34:00,Bangalore,Maharashtra,32.0,Male,Homicide,,Description 16,Officer 16,True,Yes,16.0,,,,,,,,
